latitude,longitude,timestamp
37.75153,-122.39447,2008-05-17 15:12:10
37.75149,-122.39447,2008-05-17 15:13:50
37.75149,-122.39446096774194,2008-05-17 15:15:30
37.75148697259401,-122.3944618164436,2008-05-17 15:17:10
37.75148378585086,-122.39446372848948,2008-05-17 15:18:50
37.75148059910771,-122.39446564053537,2008-05-17 15:20:30
37.751477412364565,-122.39446755258126,2008-05-17 15:22:10
37.751474225621415,-122.39446946462715,2008-05-17 15:23:50
37.751471038878265,-122.39447137667304,2008-05-17 15:25:30
37.751467852135114,-122.39447328871893,2008-05-17 15:27:10
37.75146466539197,-122.39447520076482,2008-05-17 15:28:50
37.75146147864882,-122.3944771128107,2008-05-17 15:30:30
37.75145829190567,-122.3944790248566,2008-05-17 15:32:10
37.75145510516253,-122.39448093690248,2008-05-17 15:33:50
37.75145191841938,-122.39448284894837,2008-05-17 15:35:30
37.75144873167623,-122.39448476099426,2008-05-17 15:37:10
37.75144554493308,-122.39448667304016,2008-05-17 15:38:50
37.751442358189934,-122.39448858508605,2008-05-17 15:40:30
37.75146625,-122.39450500000001,2008-05-17 15:42:10
37.751381475409836,-122.39497983606557,2008-05-17 15:43:50
37.75139672131147,-122.39495983606557,2008-05-17 15:45:30
37.75140327868852,-122.39496327868852,2008-05-17 15:47:10
37.751400476190476,-122.39496047619048,2008-05-17 15:48:50
37.750052448979595,-122.3965512244898,2008-05-17 15:50:30
37.748986129032254,-122.40590129032257,2008-05-17 15:52:10
37.748737540983605,-122.41343524590164,2008-05-17 15:53:50
37.75403233766234,-122.41423688311689,2008-05-17 15:55:30
37.76163661971831,-122.41495225352112,2008-05-17 15:57:10
37.76513769230769,-122.41841307692307,2008-05-17 15:58:50
37.762295151515154,-122.41966075757576,2008-05-17 16:00:30
37.756138367346935,-122.41889836734694,2008-05-17 16:02:10
37.752121864406774,-122.42084525423729,2008-05-17 16:03:50
37.752215666666665,-122.42230283333333,2008-05-17 16:05:30
