latitude,longitude,timestamp
37.80346,-122.41466,2008-05-17 15:12:10
37.80346,-122.41466,2008-05-17 15:13:50
37.80346,-122.41466,2008-05-17 15:15:30
37.80346,-122.41466,2008-05-17 15:17:10
37.80346,-122.41466,2008-05-17 15:18:50
37.80346,-122.41466,2008-05-17 15:20:30
37.80346,-122.41466,2008-05-17 15:22:10
37.80346,-122.41466,2008-05-17 15:23:50
37.80346,-122.41466,2008-05-17 15:25:30
37.80346,-122.41466,2008-05-17 15:27:10
37.80346,-122.41466,2008-05-17 15:28:50
37.80346,-122.41466,2008-05-17 15:30:30
37.80346,-122.41466,2008-05-17 15:32:10
37.80346,-122.41466,2008-05-17 15:33:50
37.80346,-122.41466,2008-05-17 15:35:30
37.80346,-122.41466,2008-05-17 15:37:10
37.80346,-122.41466,2008-05-17 15:38:50
37.80346,-122.41466,2008-05-17 15:40:30
37.80346,-122.41466,2008-05-17 15:42:10
37.80346,-122.41466,2008-05-17 15:43:50
37.80346,-122.41466,2008-05-17 15:45:30
37.80346,-122.41466,2008-05-17 15:47:10
37.80346,-122.41466,2008-05-17 15:48:50
37.80346,-122.41466,2008-05-17 15:50:30
37.80346,-122.41466,2008-05-17 15:52:10
37.80346,-122.41466,2008-05-17 15:53:50
37.80346,-122.41466,2008-05-17 15:55:30
37.80346,-122.41466,2008-05-17 15:57:10
37.80346,-122.41466,2008-05-17 15:58:50
37.80346,-122.41466,2008-05-17 16:00:30
37.80346,-122.41466,2008-05-17 16:02:10
37.80346,-122.41466,2008-05-17 16:03:50
37.80346,-122.41466,2008-05-17 16:05:30
37.80346,-122.41466,2008-05-17 16:07:10
37.80346,-122.41466,2008-05-17 16:08:50
37.80346,-122.41466,2008-05-17 16:10:30
37.80346,-122.41466,2008-05-17 16:12:10
37.80346,-122.41466,2008-05-17 16:13:50
37.80346,-122.41466,2008-05-17 16:15:30
37.80346,-122.41466,2008-05-17 16:17:10
37.80346,-122.41466,2008-05-17 16:18:50
37.80346,-122.41466,2008-05-17 16:20:30
37.80346,-122.41466,2008-05-17 16:22:10
